collection,source_product,source_category,similar_products,similar_categories,similarity_scores,validation_status,error_type
pants_shorts,2NDUP 베이직 숏팬츠,쇼츠,"['2NDUP 베이직 숏팬츠', '[남성] 퀄리파이 런 쇼츠_블랙 VR14331010', '[여성] 블리스블렌드 쇼츠_민트 VR24332015', '쥐 로고 쇼츠 - 핑크 #1', '여성 경량 우븐스트레치 숏팬츠', '테리 쇼츠(IVORY)']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(77.09), np.float64(77.0), np.float64(75.98), np.float64(74.59), np.float64(72.14)]",success,
pants_shorts,4플리츠 반바지(아이보리),쇼츠,"['4플리츠 반바지(아이보리)', '뒷 밴딩 턱  숏팬츠 OW4ML5240', '메타 엠보 반바지 MW3ML260', 'Pintuck short pants _ white', '게더레이지 치노 웨스턴 쇼츠 블랙', 'Deep One Tuck Sweat Shorts [Grey]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.11), np.float64(89.64), np.float64(87.73), np.float64(84.58), np.float64(81.28), np.float64(81.18)]",success,
pants_shorts,ASI 에센셜 버뮤다 스웻 팬츠_피그먼트 그레이,쇼츠,"['ASI 에센셜 버뮤다 스웻 팬츠_피그먼트 그레이', 'Deep One Tuck Pigment Sweat Shorts [Charcoal]', '코튼 숏팬츠 라이트그레이', 'Deep One Tuck Sweat Shorts [Grey]', '버뮤다 쇼츠 1147 블랙', '투턱 와이드 버뮤다 반바지 [블랙]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.49), np.float64(90.72), np.float64(86.5), np.float64(85.59), np.float64(80.4), np.float64(80.31)]",success,
pants_shorts,BE MADNESS SHORTS(NAVY),쇼츠,"['BE MADNESS SHORTS(NAVY)', 'SPORTY MESH HALF-PANTS, GREY', '시그니처 와이드 스웨트 하프팬츠_블랙', '원턱 버뮤다 스웨트 반바지 - 다크 블루', '사이드라인 버뮤다 스웨트 8부 팬츠 블랙', '나일론 쿨 썸머 베이직 숏츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.34), np.float64(70.32), np.float64(69.03), np.float64(67.7), np.float64(67.34), np.float64(67.26)]",success,
pants_shorts,Beige Label Button Shorts - Black,쇼츠,"['Beige Label Button Shorts - Black', 'Reverse Cotton Short Pants - Black', '니트 마이크로 쇼츠_네이비', '메타 엠보 반바지 MW3ML260', 'Double cable knit pants - Grey', 'CREPE ZIPPED SHORTS']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(97.67), np.float64(77.66), np.float64(76.76), np.float64(74.79), np.float64(74.38), np.float64(74.05)]",success,
pants_shorts,Black White Point Button Short Pants,쇼츠,"['Black White Point Button Short Pants', 'Peach Cotton Short pants - Black', '진주 퀼팅 숏 팬츠(블랙)', 'Floral Print Padded Shorts', '유니언잭 골지 쇼츠 블랙', 'G CLASSIC RIB SHORTS (BLACK)']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.46), np.float64(72.73), np.float64(70.13), np.float64(69.36), np.float64(69.07), np.float64(67.92)]",success,
pants_shorts,Boucle Micro Shorts Number,쇼츠,"['Boucle Micro Shorts Number', 'Double cable knit pants - Grey', '레터링 데님 숏팬츠(Indigo Blue)', '4플리츠 반바지(아이보리)', '세이지 그라데이션 쇼츠', '테리 쇼츠(IVORY)']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.35), np.float64(63.69), np.float64(57.49), np.float64(57.38), np.float64(57.16), np.float64(56.46)]",success,
pants_shorts,Buckle Point Wrap Shorts_Navy,쇼츠,"['Buckle Point Wrap Shorts_Navy', '벨티드 코튼 쇼츠  블랙 (354725MB15)', 'CREPE ZIPPED SHORTS', 'Peach Cotton Short pants - Black', '베이직 숏 팬츠 AP2WP462', 'Double cable knit pants - Grey']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(95.95), np.float64(74.59), np.float64(74.01), np.float64(73.22), np.float64(72.96), np.float64(72.09)]",success,
pants_shorts,CREPE ZIPPED SHORTS,쇼츠,"['CREPE ZIPPED SHORTS', 'Peach Cotton Short pants - Black', '유니언잭 골지 쇼츠 블랙', 'Double cable knit pants - Grey', '뒷 밴딩 턱  숏팬츠 OW4ML5240', 'Buckle Point Wrap Shorts_Navy']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.46), np.float64(83.06), np.float64(79.24), np.float64(79.02), np.float64(77.62), np.float64(77.15)]",success,
pants_shorts,Cutlap Eco 17.5 Hybrid Walkshort-VGR,쇼츠,"['Cutlap Eco 17.5 Hybrid Walkshort-VGR', '시에라 숏 MENS NAMAP751101', '코튼 숏팬츠 라이트그레이', '게더레이지 치노 웨스턴 쇼츠 블랙', '크레도 숏 MENS NAMAPKR6H', '플로피 팬츠 _ 민트']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.13), np.float64(71.01), np.float64(70.2), np.float64(69.46), np.float64(68.13), np.float64(67.77)]",success,
pants_shorts,Deep One Tuck Pigment Sweat Shorts [Charcoal],쇼츠,"['Deep One Tuck Pigment Sweat Shorts [Charcoal]', 'ASI 에센셜 버뮤다 스웻 팬츠_피그먼트 그레이', 'Deep One Tuck Sweat Shorts [Grey]', '코튼 숏팬츠 라이트그레이', '버뮤다 쇼츠 1147 블랙', '원턱 버뮤다 스웨트 반바지 - 다크 블루']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.74), np.float64(90.29), np.float64(89.99), np.float64(86.03), np.float64(80.41), np.float64(80.05)]",success,
